###
# Configuration for the board (4 players)
# It is meant to be read line-by-line
# Arguments are separated by a ";"-Character
#  First arg: Row of the object
# Second arg: Column of the object
#  Third arg: Type of the object (int is for enum-recognition
#   More arg: arguments for the constructor (depends on type)
###

# Home (top-left)
0;0;0;4;0;0
0;1;0;4;0;0
1;0;0;4;0;0
1;1;0;4;0;0
# Goal
5;1;2;5;2;0
5;2;2;5;3;0
5;3;2;5;4;0
5;4;2;5;4;0

# Home (top-right)
0;9;0;0;6;1
0;10;0;0;6;1
1;9;0;0;6;1
1;10;0;0;6;1
# Goal
1;5;2;2;5;1
2;5;2;3;5;1
3;5;2;4;5;1
4;5;2;4;5;1

# Home (bottom-left)
9;0;0;4;10;2
9;1;0;4;10;2
10;0;0;4;10;2
10;1;0;4;10;2
# Goal
9;5;2;8;5;2
8;5;2;7;5;2
7;5;2;6;5;2
6;5;2;6;5;2

# Home (bottom-right)
9;9;0;6;10;3
9;10;0;6;10;3
10;9;0;6;10;3
10;10;0;6;10;3
# Goal
5;9;2;5;8;3
5;8;2;5;7;3
5;7;2;5;6;3
5;6;2;5;6;3

# Waypoints
4;0;1;4;1
4;1;1;4;2
4;2;1;4;3
4;3;1;4;4
4;4;1;3;4
3;4;1;2;4
2;4;1;1;4
1;4;1;0;4
0;4;1;0;5
0;5;1;0;6
0;6;1;1;6
1;6;1;2;6
2;6;1;3;6
3;6;1;4;6
4;6;1;4;7
4;7;1;4;8
4;8;1;4;9
4;9;1;4;10
4;10;1;5;10
5;10;1;6;10
6;10;1;6;9
6;9;1;6;8
6;8;1;6;7
6;7;1;6;6
6;6;1;7;6
7;6;1;8;6
8;6;1;9;6
9;6;1;10;6
10;6;1;10;5
10;5;1;10;4
10;4;1;9;4
9;4;1;8;4
8;4;1;7;4
7;4;1;6;4
6;4;1;6;3
6;3;1;6;2
6;2;1;6;1
6;1;1;6;0
6;0;1;5;0
5;0;1;4;0

# Just a prototype
