###
# Configuration for the board (4 players)
# It is meant to be read line-by-line
# Arguments are separated by a ";"-Character
#  First arg: Row of the object
# Second arg: Column of the object
#  Third arg: Type of the object (int is for enum-recognition
#   More arg: arguments for the constructor (depends on type)
###
# Home (top-left)
2;2;0;5;5;0
2;3;0;5;5;0
3;2;0;5;5;0
3;3;0;5;5;0
# Goal
7;5;2;8;6;0
8;6;2;9;7;0
9;7;2;10;8;0
10;8;2;10;8;0
# Home (top-right)
2;19;0;3;12;1
2;20;0;3;12;1
3;19;0;3;12;1
3;20;0;3;12;1
# Goal
4;11;2;5;11;1
5;11;2;6;11;1
6;11;2;7;11;1
7;11;2;7;11;1
# Home (mid-left)
12;1;0;15;3;2
12;2;0;15;3;2
13;1;0;15;3;2
13;2;0;15;3;2
# Goal
15;5;2;14;6;2
14;6;2;13;7;2
13;7;2;12;8;2
12;8;2;12;8;2
# Home (mid-right)
9;20;0;7;19;3
9;21;0;7;19;3
10;20;0;7;19;3
10;21;0;7;19;3
# Goal
7;17;2;8;16;3
8;16;2;9;15;3
9;15;2;10;14;3
10;14;2;10;14;3
# Home (bottom-left)
19;2;0;19;10;4
19;3;0;19;10;4
20;2;0;19;10;4
20;3;0;19;10;4
# Goal
18;11;2;17;11;4
17;11;2;16;11;4
16;11;2;15;11;4
15;11;2;15;11;4
# Home (bottom-right)
19;19;0;17;17;5
19;20;0;17;17;5
20;19;0;17;17;5
20;20;0;17;17;5
# Goal
15;17;2;14;16;5
14;16;2;13;15;5
13;15;2;12;14;5
12;14;2;12;14;5
# Waypoints
5;5;1;6;6
6;6;1;7;7
7;7;1;6;8
6;8;1;5;9
5;9;1;4;10
4;10;1;3;10
3;10;1;3;11
3;11;1;3;12
3;12;1;4;12
4;12;1;5;13
5;13;1;6;14
6;14;1;7;15
7;15;1;6;16
6;16;1;5;17
5;17;1;6;18
6;18;1;7;19
7;19;1;8;18
8;18;1;9;17
9;17;1;10;16
10;16;1;11;15
11;15;1;12;16
12;16;1;13;17
13;17;1;14;18
14;18;1;15;19
15;19;1;16;17
16;17;1;17;17
17;17;1;16;16
16;16;1;15;15
15;15;1;16;14
16;14;1;17;13
17;13;1;18;12
18;12;1;19;12
19;12;1;19;11
19;11;1;19;10
19;10;1;18;10
18;10;1;17;9
17;9;1;16;8
16;8;1;15;7
15;7;1;16;6
16;6;1;17;5
17;5;1;16;4
16;4;1;15;3
15;3;1;14;4
14;4;1;13;5
13;5;1;12;6
12;6;1;11;7
11;7;1;10;6
10;6;1;9;5
9;5;1;8;4
8;4;1;7;3
7;3;1;6;4
6;4;1;5;5
# Just a prototype
